Base Grade,Engagement Points,Homework Average,Exams,Reflections,Portfolio M's,Portfolio E's
A,65,90%,87%,5,15,10
A-,62,88%,85%,5,15,9
B+,59,85%,81%,5,15,9
B,55,82%,77%,5,15,8
B-,52,78%,75%,5,14,7
C+,49,75%,70%,5,13,6
C,45,72%,65%,4,12,5
C-,40,65%,60%,4,11,4
D,35,50%,50%,3,10,2
